Product_Name,Pricing,Ratings
Apple iPhone SE (Space Grey| 32 GB),Rs.18999,4.4
Apple iPhone SE (Gold| 32 GB),Rs.18999,4.4
Apple iPhone SE (Rose Gold| 32 GB),Rs.18999,4.4
Apple iPhone SE (Silver| 32 GB),Rs.18999,4.5
Apple iPhone 6 (Gold| 32 GB),Rs.25999,4.4
Apple iPhone 6 (Space Grey| 32 GB),Rs.24999,4.4
Apple iPhone 6s (Rose Gold| 32 GB),Rs.32999,4.4
Apple iPhone 7 (Jet Black| 32 GB),Rs.46999,4.5
Apple iPhone 6s (Space Grey| 32 GB),Rs.32999,4.4
Apple iPhone 6s (Gold| 32 GB),Rs.32999,4.4
Apple iPhone 6s Plus (Gold| 32 GB),Rs.38999,4.4
Apple iPhone 6s Plus (Space Grey| 32 GB),Rs.39999,4.5
Apple iPhone 7 (Rose Gold| 32 GB),Rs.46999,4.5
Apple iPhone 7 Plus (Black| 128 GB),Rs.64999,4.6
Apple iPhone 7 (Black| 32 GB),Rs.46999,4.5
Apple iPhone 7 (Rose Gold| 128 GB),Rs.55999,4.5
Apple iPhone 6s Plus (Rose Gold| 32 GB),Rs.38999,4.4
Apple iPhone 7 (Silver| 32 GB),Rs.46999,4.5
Apple iPhone 7 (Gold| 32 GB),Rs.46999,4.5
Apple iPhone 8 Plus (Silver| 64 GB),Rs.71999,4.6
Apple iPhone 8 (Silver| 64 GB),Rs.62999,4.5
Apple iPhone 8 (Space Grey| 256 GB),Rs.73999,4.5
Apple iPhone 6s (Silver| 32 GB),Rs.33999,4.4
Apple iPhone 6s Plus (Silver| 16 GB),Rs.42990,4.3
